stage,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us,kernelName,err,tflops,bw
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb7_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb7_xcd4_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb7_go_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb7_go_xcd4_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb14_bnt0_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb14_bnt0_xcd4_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb14_bnt0_go_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb14_bnt0_go_xcd4_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb14_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb14_xcd4_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb14_go_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,-1.0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kb14_go_xcd4_fp4,100.0%,0.0,0.0
stage1,256,64,4096,4096,32,8,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,100.0839,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_bnt0,0.0%,514.96,16100.48
